fantasy_player_id,round_id,tournament_id,points,starting_xi,minutes_played,goals_scored,assists,clean_sheet,goals_conceded,yellow_cards,red_cards,own_goals,penalty_won,penalty_conceded,penalty_saved,saves,tackles,chances_created,shots_on_target,free_kicks,scouting_bonus
76,2,29,1,0,90,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
77,1,8,9,0,84,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,1
77,2,29,2,0,78,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
80,1,8,11,0,90,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
80,2,29,1,0,45,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
81,1,8,3,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,29,2,0,90,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
85,1,20,1,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,1,20,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
88,1,20,1,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
90,1,20,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
91,1,20,1,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,1,20,9,0,45,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1
97,1,20,1,0,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,20,3,0,90,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
102,1,20,1,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
103,1,20,2,0,90,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
106,1,20,3,0,90,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
107,1,20,1,0,90,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
108,1,20,10,0,83,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
109,1,20,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110,1,20,1,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,20,7,0,59,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1
114,1,14,0,0,34,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
114,2,38,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1
115,1,14,0,0,56,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0
115,2,38,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2,38,1,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,14,7,0,90,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
117,2,38,1,0,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
121,1,14,2,0,90,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
121,2,38,9,0,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
123,1,14,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
123,2,38,7,0,66,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1
124,1,14,1,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,38,1,0,73,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
125,1,14,2,0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,2,38,1,0,32,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
128,2,38,1,0,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
129,1,14,2,0,66,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
135,1,14,1,0,34,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
135,2,38,1,0,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
136,1,14,1,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,1,14,2,0,90,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
137,2,38,3,0,90,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0
138,1,14,2,0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
138,2,38,3,0,87,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
139,1,3,7,0,84,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1
139,2,26,-1,0,90,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
140,1,3,2,0,90,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
140,2,26,-2,0,90,0,0,0,4,1,0,0,0,0,0,0,2,0,1,0,0
