fantasy_player_id,appearances,minutes_played,starting_xi,total_points,total_goals_scored,total_assists,clean_sheets,saves,tackles,chances_created,shots_on_target,scouting_bonus,yellow_cards
829,1,12,0,1,0,0,1,0,1,0,0,0,0
830,2,180,0,10,1,0,0,0,2,0,1,1,0
832,2,175,0,18,2,0,0,0,3,0,3,1,0
834,2,47,0,2,0,0,1,0,0,0,0,0,0
835,2,16,0,2,0,0,1,0,0,0,0,0,0
838,2,180,0,2,0,0,0,6,0,0,0,0,0
841,1,90,0,2,0,0,0,0,1,0,0,0,0
843,1,17,0,1,0,0,1,0,1,0,0,0,0
845,1,9,0,1,0,0,1,0,1,0,0,0,0
846,1,90,0,2,0,0,0,0,1,0,0,0,0
847,1,90,0,2,0,0,0,0,4,0,0,0,0
849,1,17,0,10,1,0,1,0,0,0,1,1,0
850,1,73,0,7,0,1,0,0,1,1,0,1,0
852,1,90,0,2,0,0,0,0,1,0,0,0,0
855,1,90,0,17,2,1,0,0,0,0,4,0,0
856,1,73,0,2,0,0,0,0,0,0,0,0,0
857,1,17,0,1,0,0,1,0,0,0,0,0,0
859,1,90,0,2,0,0,0,0,0,0,0,0,0
863,1,73,0,2,0,0,0,0,1,0,0,0,0
864,1,17,0,1,0,0,1,0,1,0,0,0,0
865,1,90,0,2,0,0,0,0,5,1,0,0,1
866,1,63,0,4,0,0,1,0,4,0,0,0,0
867,1,90,0,2,0,0,0,0,0,0,0,0,0
868,1,74,0,3,0,0,1,0,1,0,0,0,0
869,1,1,0,1,0,0,0,0,0,0,0,0,0
870,1,90,0,2,0,0,0,0,6,0,0,0,0
871,1,90,0,2,0,0,0,0,0,0,0,0,0
873,1,89,0,8,0,0,1,0,3,0,1,1,1
874,1,90,0,2,0,0,0,0,4,0,0,0,0
876,1,90,0,2,0,0,0,0,6,0,0,0,0
879,1,16,0,2,0,0,0,0,0,0,2,0,0
880,1,27,0,1,0,0,0,0,0,0,0,0,0
881,1,63,0,2,0,0,1,0,0,0,1,0,0
885,1,90,0,2,0,0,0,2,0,1,0,0,0
888,1,45,0,9,1,0,0,0,2,0,1,1,0
