referee_id,source,window,matches,yellow_pg,red_pg,penalty_pg,fouls_pg,total_yellows,total_reds,total_penalties,total_fouls,fixtures_with_red,fixtures_with_penalty,fixtures_no_cards,computed_at
yusuke-araki-jp,footymetrics,last_10,10,4.5,0.1,0.3,20.7,45,1,3,207,1,3,0,2026-06-22T11:10:36
yusuke-araki-jp,footymetrics,last_15,15,3.933,0.2,0.2,20.0,59,3,3,300,3,3,0,2026-06-22T11:10:36
yusuke-araki-jp,footymetrics,last_25,15,3.933,0.2,0.2,20.0,59,3,3,300,3,3,0,2026-06-22T11:10:36
abdulrahman-ibrahim-al-jassim-qa,footymetrics,last_5,5,5.0,0.4,0.4,24.6,25,2,2,123,2,2,0,2026-06-22T11:10:36
abdulrahman-ibrahim-al-jassim-qa,footymetrics,last_10,10,5.4,0.6,0.3,26.0,54,6,3,260,5,3,0,2026-06-22T11:10:36
abdulrahman-ibrahim-al-jassim-qa,footymetrics,last_15,15,4.533,0.467,0.467,25.533,68,7,7,383,6,5,0,2026-06-22T11:10:36
abdulrahman-ibrahim-al-jassim-qa,footymetrics,last_25,15,4.533,0.467,0.467,25.533,68,7,7,383,6,5,0,2026-06-22T11:10:36
ning-ma-cn,footymetrics,last_5,5,5.6,0.2,0.4,21.8,28,1,2,109,1,1,0,2026-06-22T11:10:36
ning-ma-cn,footymetrics,last_10,10,5.9,0.3,0.4,25.5,59,3,4,255,3,3,0,2026-06-22T11:10:36
ning-ma-cn,footymetrics,last_15,15,5.533,0.4,0.533,25.133,83,6,8,377,5,6,0,2026-06-22T11:10:36
ning-ma-cn,footymetrics,last_25,15,5.533,0.4,0.533,25.133,83,6,8,377,5,6,0,2026-06-22T11:10:36
omar-mohamed-al-ali-ae,footymetrics,last_5,5,4.8,0.2,0.6,25.2,24,1,3,126,1,1,0,2026-06-22T11:10:36
omar-mohamed-al-ali-ae,footymetrics,last_10,10,4.2,0.1,0.9,26.5,42,1,9,265,1,4,0,2026-06-22T11:10:36
omar-mohamed-al-ali-ae,footymetrics,last_15,15,3.933,0.267,0.867,24.533,59,4,13,368,3,8,0,2026-06-22T11:10:36
omar-mohamed-al-ali-ae,footymetrics,last_25,15,3.933,0.267,0.867,24.533,59,4,13,368,3,8,0,2026-06-22T11:10:36
ismail-elfath-us,footymetrics,last_5,5,4.2,0.4,0.4,23.2,21,2,2,116,2,1,0,2026-06-22T11:10:36
ismail-elfath-us,footymetrics,last_10,10,4.0,0.3,0.3,21.0,40,3,3,210,3,2,0,2026-06-22T11:10:36
ismail-elfath-us,footymetrics,last_15,15,3.8,0.2,0.267,20.333,57,3,4,305,3,3,1,2026-06-22T11:10:36
ismail-elfath-us,footymetrics,last_25,15,3.8,0.2,0.267,20.333,57,3,4,305,3,3,1,2026-06-22T11:10:36
slavko-vinčić-si,footymetrics,last_5,5,3.8,0.4,0.0,25.2,19,2,0,126,1,0,1,2026-06-22T11:10:36
slavko-vinčić-si,footymetrics,last_10,10,3.3,0.3,0.2,24.9,33,3,2,249,2,2,1,2026-06-22T11:10:36
slavko-vinčić-si,footymetrics,last_15,15,2.933,0.2,0.4,24.0,44,3,6,360,2,6,1,2026-06-22T11:10:36
slavko-vinčić-si,footymetrics,last_25,15,2.933,0.2,0.4,24.0,44,3,6,360,2,6,1,2026-06-22T11:10:36
jesús-valenzuela-sáez-ve,footymetrics,last_5,5,3.6,0.4,0.2,23.6,18,2,1,118,2,1,0,2026-06-22T11:10:36
jesús-valenzuela-sáez-ve,footymetrics,last_10,10,4.8,0.4,0.2,24.9,48,4,2,249,4,2,0,2026-06-22T11:10:36
jesús-valenzuela-sáez-ve,footymetrics,last_15,15,4.733,0.333,0.2,24.467,71,5,3,367,5,3,0,2026-06-22T11:10:36
jesús-valenzuela-sáez-ve,footymetrics,last_25,15,4.733,0.333,0.2,24.467,71,5,3,367,5,3,0,2026-06-22T11:10:36
jalal-jayed-ma,footymetrics,last_5,5,4.8,0.0,0.6,32.2,24,0,3,161,0,3,1,2026-06-22T11:10:36
jalal-jayed-ma,footymetrics,last_10,10,4.0,0.1,0.4,30.0,40,1,4,300,1,4,1,2026-06-22T11:10:36
jalal-jayed-ma,footymetrics,last_15,15,4.2,0.2,0.533,30.6,63,3,8,459,3,7,2,2026-06-22T11:10:36
jalal-jayed-ma,footymetrics,last_25,15,4.2,0.2,0.533,30.6,63,3,8,459,3,7,2,2026-06-22T11:10:36
tori-penso-us,footymetrics,last_5,5,3.0,0.0,0.2,20.0,15,0,1,100,0,1,0,2026-06-22T11:10:36
tori-penso-us,footymetrics,last_10,10,4.2,0.0,0.2,18.0,42,0,2,180,0,2,0,2026-06-22T11:10:36
tori-penso-us,footymetrics,last_15,15,4.333,0.067,0.2,20.333,65,1,3,305,1,3,0,2026-06-22T11:10:36
tori-penso-us,footymetrics,last_25,15,4.333,0.067,0.2,20.333,65,1,3,305,1,3,0,2026-06-22T11:10:36
kevin-ortega-pe,footymetrics,last_5,5,4.8,0.0,0.4,26.8,24,0,2,134,0,2,0,2026-06-22T11:10:36
kevin-ortega-pe,footymetrics,last_10,10,4.9,0.2,0.5,24.9,49,2,5,249,2,4,0,2026-06-22T11:10:36
kevin-ortega-pe,footymetrics,last_15,15,5.333,0.2,0.533,24.2,80,3,8,363,3,6,0,2026-06-22T11:10:36
kevin-ortega-pe,footymetrics,last_25,15,5.333,0.2,0.533,24.2,80,3,8,363,3,6,0,2026-06-22T11:10:36
cristián-garay-cl,footymetrics,last_5,5,4.0,0.4,0.0,20.2,20,2,0,101,1,0,0,2026-06-22T11:10:36
cristián-garay-cl,footymetrics,last_10,10,4.3,0.4,0.2,20.8,43,4,2,208,2,2,0,2026-06-22T11:10:36
cristián-garay-cl,footymetrics,last_15,15,3.933,0.333,0.2,21.333,59,5,3,320,3,3,0,2026-06-22T11:10:36
cristián-garay-cl,footymetrics,last_25,15,3.933,0.333,0.2,21.333,59,5,3,320,3,3,0,2026-06-22T11:10:36
andrés-josé-rojas-noguera-co,footymetrics,last_5,5,6.2,0.4,0.0,24.0,31,2,0,120,2,0,0,2026-06-22T11:10:36
andrés-josé-rojas-noguera-co,footymetrics,last_10,10,6.3,0.4,0.0,24.4,63,4,0,244,4,0,0,2026-06-22T11:10:36
andrés-josé-rojas-noguera-co,footymetrics,last_15,15,6.2,0.467,0.067,25.133,93,7,1,377,7,1,0,2026-06-22T11:10:36
andrés-josé-rojas-noguera-co,footymetrics,last_25,15,6.2,0.467,0.067,25.133,93,7,1,377,7,1,0,2026-06-22T11:10:36
adham-mohammad-tumah-makhadmeh-jo,footymetrics,last_5,5,5.4,0.4,0.2,21.6,27,2,1,108,2,1,0,2026-06-22T11:10:36
adham-mohammad-tumah-makhadmeh-jo,footymetrics,last_10,10,5.1,0.2,0.2,20.5,51,2,2,205,2,2,1,2026-06-22T11:10:36
adham-mohammad-tumah-makhadmeh-jo,footymetrics,last_15,15,4.733,0.2,0.467,22.533,71,3,7,338,3,6,2,2026-06-22T11:10:36
adham-mohammad-tumah-makhadmeh-jo,footymetrics,last_25,15,4.733,0.2,0.467,22.533,71,3,7,338,3,6,2,2026-06-22T11:10:36
ilgiz-tantashev-uz,footymetrics,last_5,5,3.8,0.6,0.2,19.8,19,3,1,99,2,1,0,2026-06-22T11:10:36
ilgiz-tantashev-uz,footymetrics,last_10,10,3.6,0.3,0.2,20.8,36,3,2,208,2,2,0,2026-06-22T11:10:36
ilgiz-tantashev-uz,footymetrics,last_15,15,4.0,0.4,0.133,20.933,60,6,2,314,5,2,0,2026-06-22T11:10:36
ilgiz-tantashev-uz,footymetrics,last_25,15,4.0,0.4,0.133,20.933,60,6,2,314,5,2,0,2026-06-22T11:10:36
juan-gabriel-benítez-py,footymetrics,last_5,5,3.6,0.2,0.0,19.2,18,1,0,96,1,0,1,2026-06-22T11:10:36
juan-gabriel-benítez-py,footymetrics,last_10,10,2.6,0.2,0.0,23.1,26,2,0,231,2,0,1,2026-06-22T11:10:36
juan-gabriel-benítez-py,footymetrics,last_15,15,3.4,0.2,0.133,22.6,51,3,2,339,3,2,1,2026-06-22T11:10:36
juan-gabriel-benítez-py,footymetrics,last_25,15,3.4,0.2,0.133,22.6,51,3,2,339,3,2,1,2026-06-22T11:10:36
