match_number,espn_match_id,fifa_match_id,fifa_id_ifes,seed_match_id,kickoff_utc,kickoff_local,date_et,kickoff_et,stage,espn_season_slug,home_nation_id,away_nation_id,fifa_home_team_id,fifa_away_team_id,fifa_home_tactics,fifa_away_tactics,stadium_id,fifa_stadium_id,espn_venue_name,venue_string,status,home_score,away_score,fifa_attendance,fifa_referee_id,fifa_referee_country,fifa_referee_name,espn_status_raw,espn_notes
72,760483,400021495,151665,60.0,2026-06-28 02:00:00+00:00,2026-06-27 21:00:00-05:00,2026-06-27,22:00,group_j,group-stage,JOR,ARG,43820,43922,,,att,400257526,AT&T Stadium,"AT&T Stadium, Arlington",scheduled,0,0,,,,,STATUS_SCHEDULED,
73,760486,,,,2026-06-28 19:00:00+00:00,2026-06-28 12:00:00-07:00,2026-06-28,,r32,round-of-32,,,,,,,sofi,,SoFi Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
74,760487,,,,2026-06-29 17:00:00+00:00,2026-06-29 12:00:00-05:00,2026-06-29,,r32,round-of-32,,,,,,,nrg,,NRG Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
75,760489,,,,2026-06-29 20:30:00+00:00,2026-06-29 16:30:00-04:00,2026-06-29,,r32,round-of-32,GER,,,,,,gillette,,Gillette Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
76,760488,,,,2026-06-30 01:00:00+00:00,2026-06-29 19:00:00-06:00,2026-06-29,,r32,round-of-32,,,,,,,bbva,,Estadio BBVA,,scheduled,0,0,,,,,STATUS_SCHEDULED,
77,760490,,,,2026-06-30 17:00:00+00:00,2026-06-30 12:00:00-05:00,2026-06-30,,r32,round-of-32,,,,,,,att,,AT&T Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
78,760492,,,,2026-06-30 21:00:00+00:00,2026-06-30 17:00:00-04:00,2026-06-30,,r32,round-of-32,,,,,,,metlife,,MetLife Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
79,760491,,,,2026-07-01 01:00:00+00:00,2026-06-30 19:00:00-06:00,2026-06-30,,r32,round-of-32,MEX,,,,,,azteca,,Estadio Banorte,,scheduled,0,0,,,,,STATUS_SCHEDULED,
80,760495,,,,2026-07-01 16:00:00+00:00,2026-07-01 12:00:00-04:00,2026-07-01,,r32,round-of-32,,,,,,,mercedes,,Mercedes-Benz Stadium,,scheduled,0,0,,,,,STATUS_SCHEDULED,
81,760493,,,,2026-07-01 20:00:00+00:00,2026-07-01 13:00:00-07:00,2026-07-01,,r32,round-of-32,,,,,,,lumen,,Lumen Field,,scheduled,0,0,,,,,STATUS_SCHEDULED,
