fifa_player_id,fifa_team_id,avg_attacking_score,avg_defensive_score,avg_creativity_score,avg_defending_the_goal_score,n_matches_ranked,player_kind
359634,43967,4.072258234024048,6.5152060985565186,6.000894784927368,,2,outfieldPlayer
360496,43970,,,,4.897714614868164,2,goalkeeper
360642,43926,,,,5.506335735321045,1,goalkeeper
364752,43850,,,,6.401233673095703,2,goalkeeper
367981,43924,4.1482226848602295,6.3720293045043945,5.037260293960571,,2,outfieldPlayer
368535,43978,,,,5.9313437938690186,2,goalkeeper
368649,43963,4.4411749839782715,6.129903316497803,6.124564170837402,,1,outfieldPlayer
368660,43930,4.4167468547821045,6.341168403625488,5.6504364013671875,,2,outfieldPlayer
369029,43938,,,,5.3235650062561035,1,goalkeeper
369267,43855,4.021809816360474,6.219093084335327,4.391635179519653,,2,outfieldPlayer
369304,43972,4.750028133392334,6.466706037521362,6.0191099643707275,,2,outfieldPlayer
369419,43942,8.294390678405762,4.650221824645996,5.718981742858887,,1,outfieldPlayer
369434,43942,4.178399562835693,6.055753231048584,4.586705684661865,,1,outfieldPlayer
369744,43928,4.483752727508545,6.23865270614624,4.663682460784912,,2,outfieldPlayer
369749,43928,4.336410999298096,5.598949670791626,5.789421319961548,,2,outfieldPlayer
369761,43928,4.327070951461792,4.876463174819946,5.36853814125061,,2,outfieldPlayer
369768,43928,4.513472557067871,5.292596340179443,5.421239376068115,,1,outfieldPlayer
371348,44005,4.706667900085449,4.570613861083984,7.53731107711792,,1,outfieldPlayer
371393,44005,4.949051380157471,5.540676116943359,6.047108173370361,,1,outfieldPlayer
371415,44005,4.473601818084717,5.212515830993652,5.742410182952881,,1,outfieldPlayer
371609,43854,5.224907875061035,4.8982110023498535,6.200638294219971,,2,outfieldPlayer
371736,43817,5.1514599323272705,6.380270004272461,5.085995674133301,,2,outfieldPlayer
371739,43934,,,,6.588429927825928,1,goalkeeper
371958,43899,4.386889934539795,7.546845197677612,5.131162405014038,,2,outfieldPlayer
372090,43911,4.733434200286865,5.107764720916748,5.711086273193359,,1,outfieldPlayer
372243,43934,4.13413143157959,5.499461650848389,6.413276195526123,,1,outfieldPlayer
372342,43914,5.388314247131348,5.201345920562744,6.69476318359375,,1,outfieldPlayer
372436,44037,4.205101490020752,4.308345317840576,5.404637336730957,,1,outfieldPlayer
373235,43961,,,,5.087879657745361,1,goalkeeper
373344,43850,4.95684814453125,4.566864490509033,6.889125347137451,,1,outfieldPlayer
373400,43927,4.734642744064331,5.066209316253662,5.067103385925293,,2,outfieldPlayer
376230,44037,4.759507656097412,5.03733217716217,6.171541929244995,,2,outfieldPlayer
376285,43843,4.028571605682373,5.149380683898926,5.639191150665283,,1,outfieldPlayer
