fantasy_player_id,fifa_player_id,fantasy_squad_id,first_name,last_name,known_name,position,price,is_active,percent_selected,rounds_selected_json,total_points,avg_points,form,last_round_points,round_points_json,qualification_round_ids_json
1031,448825.0,39,Pathé,Ciss,Pathé Ciss,MID,5.6,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",1,1.0,0.3,1,"{""1"": 1}",[]
1032,431788.0,39,Pape,Gueye,Pape Gueye,MID,5.9,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",2,2.0,0.7,2,"{""1"": 2}",[]
1033,499800.0,39,Mamadou,Sarr,Mamadou Sarr,DEF,4.7,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
1034,430690.0,39,Moussa,Niakhaté,Moussa Niakhaté,DEF,4.3,True,0.1,"{""1"": 0.1, ""2"": 0.1, ""3"": 0.1}",0,0.0,0.0,0,"{""1"": 0}",[]
1035,464865.0,39,El Hadji Malick,Diouf,El Hadji Malick Diouf,DEF,4.1,True,0.9,"{""1"": 0.7, ""2"": 0.8, ""3"": 0.9}",0,0.0,0.0,0,"{""1"": 0}",[]
1036,430671.0,39,Ismail,Jakobs,Ismail Jakobs,DEF,4.1,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1037,339820.0,39,Kalidou,Koulibaly,Kalidou Koulibaly,DEF,4.9,True,0.7,"{""1"": 0.8, ""2"": 0.6, ""3"": 0.7}",0,0.0,0.0,0,"{""1"": 0}",[]
1038,370171.0,39,Abdoulaye,Seck,Abdoulaye Seck,DEF,3.8,True,0.0,"{""1"": 0, ""2"": 0, ""3"": 0}",0,0.0,0.0,0,{},[]
1039,494279.0,39,Antoine,Mendy,Antoine Mendy,DEF,3.7,True,0.2,"{""1"": 0.3, ""2"": 0.2, ""3"": 0.2}",0,0.0,0.0,0,{},[]
1041,418795.0,39,Nicolas,Jackson,Nicolas Jackson,FWD,6.7,True,0.5,"{""1"": 0.4, ""2"": 0.3, ""3"": 0.5}",2,2.0,0.7,2,"{""1"": 2}",[]
